threshold,tp,tn,fp,fn,tpr,fpr
0.0,0,300,0,300,0.0,0.0
0.01,0,300,0,300,0.0,0.0
0.02,0,300,0,300,0.0,0.0
0.03,0,300,0,300,0.0,0.0
0.04,0,300,0,300,0.0,0.0
0.05,0,300,0,300,0.0,0.0
0.06,0,300,0,300,0.0,0.0
0.07,0,300,0,300,0.0,0.0
0.08,1,300,0,299,0.00333333333333,0.0
0.09,1,300,0,299,0.00333333333333,0.0
0.1,1,300,0,299,0.00333333333333,0.0
0.11,1,300,0,299,0.00333333333333,0.0
0.12,1,300,0,299,0.00333333333333,0.0
0.13,1,300,0,299,0.00333333333333,0.0
0.14,2,300,0,298,0.00666666666667,0.0
0.15,3,300,0,297,0.01,0.0
0.16,4,300,0,296,0.0133333333333,0.0
0.17,5,300,0,295,0.0166666666667,0.0
0.18,5,300,0,295,0.0166666666667,0.0
0.19,8,300,0,292,0.0266666666667,0.0
0.2,9,300,0,291,0.03,0.0
0.21,12,300,0,288,0.04,0.0
0.22,15,300,0,285,0.05,0.0
0.23,17,300,0,283,0.0566666666667,0.0
0.24,18,300,0,282,0.06,0.0
0.25,22,300,0,278,0.0733333333333,0.0
0.26,25,300,0,275,0.0833333333333,0.0
0.27,28,300,0,272,0.0933333333333,0.0
0.28,30,300,0,270,0.1,0.0
0.29,33,300,0,267,0.11,0.0
0.3,40,300,0,260,0.133333333333,0.0
0.31,44,300,0,256,0.146666666667,0.0
0.32,48,300,0,252,0.16,0.0
0.33,55,300,0,245,0.183333333333,0.0
0.34,60,300,0,240,0.2,0.0
0.35000000000000003,65,300,0,235,0.216666666667,0.0
0.36,67,300,0,233,0.223333333333,0.0
0.37,70,300,0,230,0.233333333333,0.0
0.38,71,300,0,229,0.236666666667,0.0
0.39,71,300,0,229,0.236666666667,0.0
0.4,71,300,0,229,0.236666666667,0.0
0.41000000000000003,74,300,0,226,0.246666666667,0.0
0.42,77,300,0,223,0.256666666667,0.0
0.43,80,300,0,220,0.266666666667,0.0
