threshold,tp,tn,fp,fn,tpr,fpr
0.0,0,300,0,300,0.0,0.0
0.01,0,300,0,300,0.0,0.0
0.02,0,300,0,300,0.0,0.0
0.03,0,300,0,300,0.0,0.0
0.04,0,300,0,300,0.0,0.0
0.05,0,300,0,300,0.0,0.0
0.06,0,300,0,300,0.0,0.0
0.07,1,300,0,299,0.00333333333333,0.0
0.08,1,300,0,299,0.00333333333333,0.0
0.09,1,300,0,299,0.00333333333333,0.0
0.1,1,300,0,299,0.00333333333333,0.0
0.11,1,300,0,299,0.00333333333333,0.0
0.12,1,300,0,299,0.00333333333333,0.0
0.13,1,300,0,299,0.00333333333333,0.0
0.14,3,300,0,297,0.01,0.0
0.15,4,300,0,296,0.0133333333333,0.0
0.16,4,300,0,296,0.0133333333333,0.0
0.17,6,300,0,294,0.02,0.0
0.18,9,300,0,291,0.03,0.0
0.19,10,300,0,290,0.0333333333333,0.0
0.2,11,300,0,289,0.0366666666667,0.0
0.21,12,300,0,288,0.04,0.0
0.22,13,300,0,287,0.0433333333333,0.0
0.23,14,300,0,286,0.0466666666667,0.0
0.24,14,300,0,286,0.0466666666667,0.0
0.25,14,300,0,286,0.0466666666667,0.0
0.26,17,300,0,283,0.0566666666667,0.0
0.27,20,300,0,280,0.0666666666667,0.0
0.28,25,300,0,275,0.0833333333333,0.0
0.29,25,300,0,275,0.0833333333333,0.0
0.3,29,300,0,271,0.0966666666667,0.0
0.31,30,300,0,270,0.1,0.0
0.32,32,300,0,268,0.106666666667,0.0
0.33,33,300,0,267,0.11,0.0
0.34,36,300,0,264,0.12,0.0
0.35000000000000003,40,300,0,260,0.133333333333,0.0
0.36,42,300,0,258,0.14,0.0
0.37,44,300,0,256,0.146666666667,0.0
0.38,46,299,1,254,0.153333333333,0.00333333333333
0.39,52,299,1,248,0.173333333333,0.00333333333333
0.4,53,299,1,247,0.176666666667,0.00333333333333
0.41000000000000003,57,297,3,243,0.19,0.01
0.42,61,297,3,239,0.203333333333,0.01
