threshold,tp,tn,fp,fn,tpr,fpr
0.0,0,300,0,300,0.0,0.0
0.01,0,300,0,300,0.0,0.0
0.02,0,300,0,300,0.0,0.0
0.03,0,300,0,300,0.0,0.0
0.04,0,300,0,300,0.0,0.0
0.05,1,300,0,299,0.00333333333333,0.0
0.06,1,300,0,299,0.00333333333333,0.0
0.07,1,300,0,299,0.00333333333333,0.0
0.08,2,300,0,298,0.00666666666667,0.0
0.09,2,300,0,298,0.00666666666667,0.0
0.1,3,300,0,297,0.01,0.0
0.11,4,300,0,296,0.0133333333333,0.0
0.12,4,300,0,296,0.0133333333333,0.0
0.13,5,300,0,295,0.0166666666667,0.0
0.14,7,300,0,293,0.0233333333333,0.0
0.15,8,300,0,292,0.0266666666667,0.0
0.16,9,300,0,291,0.03,0.0
0.17,9,300,0,291,0.03,0.0
0.18,9,300,0,291,0.03,0.0
0.19,10,300,0,290,0.0333333333333,0.0
0.2,10,300,0,290,0.0333333333333,0.0
0.21,14,300,0,286,0.0466666666667,0.0
0.22,15,300,0,285,0.05,0.0
0.23,16,300,0,284,0.0533333333333,0.0
0.24,17,300,0,283,0.0566666666667,0.0
0.25,17,300,0,283,0.0566666666667,0.0
0.26,18,300,0,282,0.06,0.0
0.27,21,300,0,279,0.07,0.0
0.28,24,300,0,276,0.08,0.0
0.29,25,300,0,275,0.0833333333333,0.0
0.3,26,300,0,274,0.0866666666667,0.0
0.31,33,300,0,267,0.11,0.0
0.32,35,299,1,265,0.116666666667,0.00333333333333
0.33,39,299,1,261,0.13,0.00333333333333
0.34,43,299,1,257,0.143333333333,0.00333333333333
0.35000000000000003,43,299,1,257,0.143333333333,0.00333333333333
0.36,45,299,1,255,0.15,0.00333333333333
0.37,48,299,1,252,0.16,0.00333333333333
0.38,54,299,1,246,0.18,0.00333333333333
0.39,58,299,1,242,0.193333333333,0.00333333333333
0.4,65,298,2,235,0.216666666667,0.00666666666667
0.41000000000000003,68,298,2,232,0.226666666667,0.00666666666667
0.42,75,297,3,225,0.25,0.01
