threshold,tp,tn,fp,fn,tpr,fpr
0.0,0,300,0,300,0.0,0.0
0.01,0,300,0,300,0.0,0.0
0.02,0,300,0,300,0.0,0.0
0.03,0,300,0,300,0.0,0.0
0.04,0,300,0,300,0.0,0.0
0.05,0,300,0,300,0.0,0.0
0.06,0,300,0,300,0.0,0.0
0.07,0,300,0,300,0.0,0.0
0.08,0,300,0,300,0.0,0.0
0.09,0,300,0,300,0.0,0.0
0.1,0,300,0,300,0.0,0.0
0.11,2,300,0,298,0.00666666666667,0.0
0.12,4,300,0,296,0.0133333333333,0.0
0.13,4,300,0,296,0.0133333333333,0.0
0.14,7,300,0,293,0.0233333333333,0.0
0.15,7,300,0,293,0.0233333333333,0.0
0.16,8,300,0,292,0.0266666666667,0.0
0.17,10,300,0,290,0.0333333333333,0.0
0.18,13,300,0,287,0.0433333333333,0.0
0.19,15,300,0,285,0.05,0.0
0.2,17,300,0,283,0.0566666666667,0.0
0.21,19,300,0,281,0.0633333333333,0.0
0.22,23,300,0,277,0.0766666666667,0.0
0.23,24,300,0,276,0.08,0.0
0.24,26,300,0,274,0.0866666666667,0.0
0.25,27,300,0,273,0.09,0.0
0.26,33,300,0,267,0.11,0.0
0.27,38,300,0,262,0.126666666667,0.0
0.28,42,300,0,258,0.14,0.0
0.29,45,300,0,255,0.15,0.0
0.3,46,300,0,254,0.153333333333,0.0
0.31,50,300,0,250,0.166666666667,0.0
0.32,56,300,0,244,0.186666666667,0.0
0.33,58,300,0,242,0.193333333333,0.0
0.34,59,300,0,241,0.196666666667,0.0
0.35000000000000003,62,300,0,238,0.206666666667,0.0
0.36,67,300,0,233,0.223333333333,0.0
0.37,71,300,0,229,0.236666666667,0.0
0.38,74,300,0,226,0.246666666667,0.0
0.39,79,300,0,221,0.263333333333,0.0
0.4,85,300,0,215,0.283333333333,0.0
0.41000000000000003,87,300,0,213,0.29,0.0
0.42,92,300,0,208,0.306666666667,0.0
0.43,95,300,0,205,0.316666666667,0.0
