threshold,tp,tn,fp,fn,tpr,fpr
0.0,0,300,0,300,0.0,0.0
0.01,0,300,0,300,0.0,0.0
0.02,0,300,0,300,0.0,0.0
0.03,0,300,0,300,0.0,0.0
0.04,0,300,0,300,0.0,0.0
0.05,0,300,0,300,0.0,0.0
0.06,0,300,0,300,0.0,0.0
0.07,0,300,0,300,0.0,0.0
0.08,0,300,0,300,0.0,0.0
0.09,0,300,0,300,0.0,0.0
0.1,0,300,0,300,0.0,0.0
0.11,0,300,0,300,0.0,0.0
0.12,0,300,0,300,0.0,0.0
0.13,1,300,0,299,0.00333333333333,0.0
0.14,1,300,0,299,0.00333333333333,0.0
0.15,2,300,0,298,0.00666666666667,0.0
0.16,3,300,0,297,0.01,0.0
0.17,6,300,0,294,0.02,0.0
0.18,7,300,0,293,0.0233333333333,0.0
0.19,8,300,0,292,0.0266666666667,0.0
0.2,9,300,0,291,0.03,0.0
0.21,13,300,0,287,0.0433333333333,0.0
0.22,17,300,0,283,0.0566666666667,0.0
0.23,18,300,0,282,0.06,0.0
0.24,20,300,0,280,0.0666666666667,0.0
0.25,24,300,0,276,0.08,0.0
0.26,28,300,0,272,0.0933333333333,0.0
0.27,29,300,0,271,0.0966666666667,0.0
0.28,31,300,0,269,0.103333333333,0.0
0.29,34,300,0,266,0.113333333333,0.0
0.3,35,300,0,265,0.116666666667,0.0
0.31,35,300,0,265,0.116666666667,0.0
0.32,37,300,0,263,0.123333333333,0.0
0.33,39,300,0,261,0.13,0.0
0.34,44,300,0,256,0.146666666667,0.0
0.35000000000000003,46,300,0,254,0.153333333333,0.0
0.36,48,300,0,252,0.16,0.0
0.37,51,300,0,249,0.17,0.0
0.38,56,300,0,244,0.186666666667,0.0
0.39,59,300,0,241,0.196666666667,0.0
0.4,63,300,0,237,0.21,0.0
0.41000000000000003,69,299,1,231,0.23,0.00333333333333
0.42,74,299,1,226,0.246666666667,0.00333333333333
0.43,77,299,1,223,0.256666666667,0.00333333333333
0.44,81,298,2,219,0.27,0.00666666666667
