threshold,tp,tn,fp,fn,tpr,fpr
0.0,0,300,0,300,0.0,0.0
0.01,0,300,0,300,0.0,0.0
0.02,0,300,0,300,0.0,0.0
0.03,0,300,0,300,0.0,0.0
0.04,0,300,0,300,0.0,0.0
0.05,0,300,0,300,0.0,0.0
0.06,0,300,0,300,0.0,0.0
0.07,1,300,0,299,0.00333333333333,0.0
0.08,1,300,0,299,0.00333333333333,0.0
0.09,2,300,0,298,0.00666666666667,0.0
0.1,2,300,0,298,0.00666666666667,0.0
0.11,2,300,0,298,0.00666666666667,0.0
0.12,2,300,0,298,0.00666666666667,0.0
0.13,2,300,0,298,0.00666666666667,0.0
0.14,3,300,0,297,0.01,0.0
0.15,4,300,0,296,0.0133333333333,0.0
0.16,7,300,0,293,0.0233333333333,0.0
0.17,12,300,0,288,0.04,0.0
0.18,15,300,0,285,0.05,0.0
0.19,16,300,0,284,0.0533333333333,0.0
0.2,17,300,0,283,0.0566666666667,0.0
0.21,17,300,0,283,0.0566666666667,0.0
0.22,18,300,0,282,0.06,0.0
0.23,20,300,0,280,0.0666666666667,0.0
0.24,23,300,0,277,0.0766666666667,0.0
0.25,24,300,0,276,0.08,0.0
0.26,28,300,0,272,0.0933333333333,0.0
0.27,30,300,0,270,0.1,0.0
0.28,33,300,0,267,0.11,0.0
0.29,38,300,0,262,0.126666666667,0.0
0.3,41,300,0,259,0.136666666667,0.0
0.31,45,300,0,255,0.15,0.0
0.32,47,300,0,253,0.156666666667,0.0
0.33,47,299,1,253,0.156666666667,0.00333333333333
0.34,50,299,1,250,0.166666666667,0.00333333333333
0.35000000000000003,56,299,1,244,0.186666666667,0.00333333333333
0.36,60,299,1,240,0.2,0.00333333333333
0.37,63,299,1,237,0.21,0.00333333333333
0.38,68,299,1,232,0.226666666667,0.00333333333333
0.39,74,298,2,226,0.246666666667,0.00666666666667
0.4,79,297,3,221,0.263333333333,0.01
0.41000000000000003,81,297,3,219,0.27,0.01
0.42,85,297,3,215,0.283333333333,0.01
