threshold,tp,tn,fp,fn,tpr,fpr
0.0,0,300,0,300,0.0,0.0
0.01,0,300,0,300,0.0,0.0
0.02,0,300,0,300,0.0,0.0
0.03,0,300,0,300,0.0,0.0
0.04,0,300,0,300,0.0,0.0
0.05,0,300,0,300,0.0,0.0
0.06,1,300,0,299,0.00333333333333,0.0
0.07,1,300,0,299,0.00333333333333,0.0
0.08,1,300,0,299,0.00333333333333,0.0
0.09,1,300,0,299,0.00333333333333,0.0
0.1,1,300,0,299,0.00333333333333,0.0
0.11,1,300,0,299,0.00333333333333,0.0
0.12,1,300,0,299,0.00333333333333,0.0
0.13,1,300,0,299,0.00333333333333,0.0
0.14,2,300,0,298,0.00666666666667,0.0
0.15,2,300,0,298,0.00666666666667,0.0
0.16,3,300,0,297,0.01,0.0
0.17,3,300,0,297,0.01,0.0
0.18,3,300,0,297,0.01,0.0
0.19,4,300,0,296,0.0133333333333,0.0
0.2,5,300,0,295,0.0166666666667,0.0
0.21,6,300,0,294,0.02,0.0
0.22,9,300,0,291,0.03,0.0
0.23,10,300,0,290,0.0333333333333,0.0
0.24,13,300,0,287,0.0433333333333,0.0
0.25,17,300,0,283,0.0566666666667,0.0
0.26,23,300,0,277,0.0766666666667,0.0
0.27,23,300,0,277,0.0766666666667,0.0
0.28,26,300,0,274,0.0866666666667,0.0
0.29,27,300,0,273,0.09,0.0
0.3,28,300,0,272,0.0933333333333,0.0
0.31,29,300,0,271,0.0966666666667,0.0
0.32,32,300,0,268,0.106666666667,0.0
0.33,38,300,0,262,0.126666666667,0.0
0.34,41,300,0,259,0.136666666667,0.0
0.35000000000000003,44,299,1,256,0.146666666667,0.00333333333333
0.36,48,299,1,252,0.16,0.00333333333333
0.37,49,299,1,251,0.163333333333,0.00333333333333
0.38,56,299,1,244,0.186666666667,0.00333333333333
0.39,58,299,1,242,0.193333333333,0.00333333333333
0.4,65,299,1,235,0.216666666667,0.00333333333333
0.41000000000000003,69,299,1,231,0.23,0.00333333333333
