threshold,tp,tn,fp,fn,tpr,fpr
0.0,0,300,0,300,0.0,0.0
0.01,0,300,0,300,0.0,0.0
0.02,0,300,0,300,0.0,0.0
0.03,0,300,0,300,0.0,0.0
0.04,0,300,0,300,0.0,0.0
0.05,0,300,0,300,0.0,0.0
0.06,0,300,0,300,0.0,0.0
0.07,0,300,0,300,0.0,0.0
0.08,1,300,0,299,0.00333333333333,0.0
0.09,1,300,0,299,0.00333333333333,0.0
0.1,1,300,0,299,0.00333333333333,0.0
0.11,1,300,0,299,0.00333333333333,0.0
0.12,1,300,0,299,0.00333333333333,0.0
0.13,2,300,0,298,0.00666666666667,0.0
0.14,4,300,0,296,0.0133333333333,0.0
0.15,5,300,0,295,0.0166666666667,0.0
0.16,6,300,0,294,0.02,0.0
0.17,6,300,0,294,0.02,0.0
0.18,7,300,0,293,0.0233333333333,0.0
0.19,7,300,0,293,0.0233333333333,0.0
0.2,10,300,0,290,0.0333333333333,0.0
0.21,11,300,0,289,0.0366666666667,0.0
0.22,12,300,0,288,0.04,0.0
0.23,13,300,0,287,0.0433333333333,0.0
0.24,14,300,0,286,0.0466666666667,0.0
0.25,17,300,0,283,0.0566666666667,0.0
0.26,18,300,0,282,0.06,0.0
0.27,21,300,0,279,0.07,0.0
0.28,26,300,0,274,0.0866666666667,0.0
0.29,31,299,1,269,0.103333333333,0.00333333333333
0.3,35,299,1,265,0.116666666667,0.00333333333333
0.31,38,299,1,262,0.126666666667,0.00333333333333
0.32,41,299,1,259,0.136666666667,0.00333333333333
0.33,43,299,1,257,0.143333333333,0.00333333333333
0.34,48,299,1,252,0.16,0.00333333333333
0.35000000000000003,51,299,1,249,0.17,0.00333333333333
0.36,51,299,1,249,0.17,0.00333333333333
0.37,57,299,1,243,0.19,0.00333333333333
0.38,62,299,1,238,0.206666666667,0.00333333333333
0.39,65,299,1,235,0.216666666667,0.00333333333333
0.4,67,299,1,233,0.223333333333,0.00333333333333
0.41000000000000003,71,299,1,229,0.236666666667,0.00333333333333
