threshold,tp,tn,fp,fn,tpr,fpr
0.0,0,300,0,300,0.0,0.0
0.01,0,300,0,300,0.0,0.0
0.02,0,300,0,300,0.0,0.0
0.03,0,300,0,300,0.0,0.0
0.04,0,300,0,300,0.0,0.0
0.05,1,300,0,299,0.00333333333333,0.0
0.06,1,300,0,299,0.00333333333333,0.0
0.07,2,300,0,298,0.00666666666667,0.0
0.08,3,300,0,297,0.01,0.0
0.09,3,300,0,297,0.01,0.0
0.1,3,300,0,297,0.01,0.0
0.11,4,300,0,296,0.0133333333333,0.0
0.12,4,300,0,296,0.0133333333333,0.0
0.13,4,300,0,296,0.0133333333333,0.0
0.14,4,300,0,296,0.0133333333333,0.0
0.15,4,300,0,296,0.0133333333333,0.0
0.16,5,300,0,295,0.0166666666667,0.0
0.17,8,300,0,292,0.0266666666667,0.0
0.18,10,300,0,290,0.0333333333333,0.0
0.19,11,300,0,289,0.0366666666667,0.0
0.2,11,300,0,289,0.0366666666667,0.0
0.21,12,300,0,288,0.04,0.0
0.22,12,300,0,288,0.04,0.0
0.23,14,300,0,286,0.0466666666667,0.0
0.24,14,300,0,286,0.0466666666667,0.0
0.25,14,300,0,286,0.0466666666667,0.0
0.26,15,300,0,285,0.05,0.0
0.27,16,300,0,284,0.0533333333333,0.0
0.28,20,300,0,280,0.0666666666667,0.0
0.29,23,300,0,277,0.0766666666667,0.0
0.3,26,300,0,274,0.0866666666667,0.0
0.31,29,300,0,271,0.0966666666667,0.0
0.32,33,300,0,267,0.11,0.0
0.33,34,300,0,266,0.113333333333,0.0
0.34,35,300,0,265,0.116666666667,0.0
0.35000000000000003,38,300,0,262,0.126666666667,0.0
0.36,42,300,0,258,0.14,0.0
0.37,47,300,0,253,0.156666666667,0.0
0.38,48,300,0,252,0.16,0.0
0.39,52,299,1,248,0.173333333333,0.00333333333333
0.4,55,299,1,245,0.183333333333,0.00333333333333
0.41000000000000003,57,299,1,243,0.19,0.00333333333333
0.42,63,299,1,237,0.21,0.00333333333333
