threshold,tp,tn,fp,fn,tpr,fpr
0.0,0,300,0,300,0.0,0.0
0.01,0,300,0,300,0.0,0.0
0.02,0,300,0,300,0.0,0.0
0.03,0,300,0,300,0.0,0.0
0.04,0,300,0,300,0.0,0.0
0.05,0,300,0,300,0.0,0.0
0.06,0,300,0,300,0.0,0.0
0.07,0,300,0,300,0.0,0.0
0.08,2,300,0,298,0.00666666666667,0.0
0.09,2,300,0,298,0.00666666666667,0.0
0.1,3,300,0,297,0.01,0.0
0.11,3,300,0,297,0.01,0.0
0.12,3,300,0,297,0.01,0.0
0.13,3,300,0,297,0.01,0.0
0.14,4,300,0,296,0.0133333333333,0.0
0.15,5,300,0,295,0.0166666666667,0.0
0.16,6,300,0,294,0.02,0.0
0.17,6,300,0,294,0.02,0.0
0.18,8,300,0,292,0.0266666666667,0.0
0.19,8,300,0,292,0.0266666666667,0.0
0.2,8,300,0,292,0.0266666666667,0.0
0.21,8,300,0,292,0.0266666666667,0.0
0.22,11,300,0,289,0.0366666666667,0.0
0.23,13,300,0,287,0.0433333333333,0.0
0.24,14,300,0,286,0.0466666666667,0.0
0.25,16,300,0,284,0.0533333333333,0.0
0.26,20,300,0,280,0.0666666666667,0.0
0.27,21,300,0,279,0.07,0.0
0.28,24,300,0,276,0.08,0.0
0.29,25,300,0,275,0.0833333333333,0.0
0.3,28,300,0,272,0.0933333333333,0.0
0.31,30,300,0,270,0.1,0.0
0.32,31,300,0,269,0.103333333333,0.0
0.33,33,300,0,267,0.11,0.0
0.34,39,299,1,261,0.13,0.00333333333333
0.35000000000000003,44,299,1,256,0.146666666667,0.00333333333333
0.36,48,299,1,252,0.16,0.00333333333333
0.37,53,299,1,247,0.176666666667,0.00333333333333
0.38,56,299,1,244,0.186666666667,0.00333333333333
0.39,57,299,1,243,0.19,0.00333333333333
0.4,59,299,1,241,0.196666666667,0.00333333333333
0.41000000000000003,63,299,1,237,0.21,0.00333333333333
0.42,67,298,2,233,0.223333333333,0.00666666666667
