threshold,tp,tn,fp,fn,tpr,fpr
0.0,0,300,0,300,0.0,0.0
0.01,0,300,0,300,0.0,0.0
0.02,0,300,0,300,0.0,0.0
0.03,0,300,0,300,0.0,0.0
0.04,0,300,0,300,0.0,0.0
0.05,0,300,0,300,0.0,0.0
0.06,0,300,0,300,0.0,0.0
0.07,0,300,0,300,0.0,0.0
0.08,1,300,0,299,0.00333333333333,0.0
0.09,1,300,0,299,0.00333333333333,0.0
0.1,1,300,0,299,0.00333333333333,0.0
0.11,1,300,0,299,0.00333333333333,0.0
0.12,1,300,0,299,0.00333333333333,0.0
0.13,3,300,0,297,0.01,0.0
0.14,3,300,0,297,0.01,0.0
0.15,3,300,0,297,0.01,0.0
0.16,3,300,0,297,0.01,0.0
0.17,4,300,0,296,0.0133333333333,0.0
0.18,4,300,0,296,0.0133333333333,0.0
0.19,5,300,0,295,0.0166666666667,0.0
0.2,8,300,0,292,0.0266666666667,0.0
0.21,12,300,0,288,0.04,0.0
0.22,16,300,0,284,0.0533333333333,0.0
0.23,17,300,0,283,0.0566666666667,0.0
0.24,20,300,0,280,0.0666666666667,0.0
0.25,23,300,0,277,0.0766666666667,0.0
0.26,25,300,0,275,0.0833333333333,0.0
0.27,27,300,0,273,0.09,0.0
0.28,29,300,0,271,0.0966666666667,0.0
0.29,33,300,0,267,0.11,0.0
0.3,35,300,0,265,0.116666666667,0.0
0.31,38,300,0,262,0.126666666667,0.0
0.32,42,300,0,258,0.14,0.0
0.33,44,300,0,256,0.146666666667,0.0
0.34,47,300,0,253,0.156666666667,0.0
0.35000000000000003,53,300,0,247,0.176666666667,0.0
0.36,54,300,0,246,0.18,0.0
0.37,58,300,0,242,0.193333333333,0.0
0.38,63,300,0,237,0.21,0.0
0.39,69,300,0,231,0.23,0.0
0.4,72,300,0,228,0.24,0.0
0.41000000000000003,78,299,1,222,0.26,0.00333333333333
0.42,78,299,1,222,0.26,0.00333333333333
0.43,84,299,1,216,0.28,0.00333333333333
