threshold,tp,tn,fp,fn,tpr,fpr
0.0,0,300,0,300,0.0,0.0
0.01,0,300,0,300,0.0,0.0
0.02,0,300,0,300,0.0,0.0
0.03,0,300,0,300,0.0,0.0
0.04,0,300,0,300,0.0,0.0
0.05,0,300,0,300,0.0,0.0
0.06,0,300,0,300,0.0,0.0
0.07,1,300,0,299,0.00333333333333,0.0
0.08,1,300,0,299,0.00333333333333,0.0
0.09,1,300,0,299,0.00333333333333,0.0
0.1,2,300,0,298,0.00666666666667,0.0
0.11,2,300,0,298,0.00666666666667,0.0
0.12,2,300,0,298,0.00666666666667,0.0
0.13,3,300,0,297,0.01,0.0
0.14,3,300,0,297,0.01,0.0
0.15,6,300,0,294,0.02,0.0
0.16,6,300,0,294,0.02,0.0
0.17,7,300,0,293,0.0233333333333,0.0
0.18,7,300,0,293,0.0233333333333,0.0
0.19,7,300,0,293,0.0233333333333,0.0
0.2,8,300,0,292,0.0266666666667,0.0
0.21,8,300,0,292,0.0266666666667,0.0
0.22,9,300,0,291,0.03,0.0
0.23,11,300,0,289,0.0366666666667,0.0
0.24,12,300,0,288,0.04,0.0
0.25,14,300,0,286,0.0466666666667,0.0
0.26,14,300,0,286,0.0466666666667,0.0
0.27,16,300,0,284,0.0533333333333,0.0
0.28,17,299,1,283,0.0566666666667,0.00333333333333
0.29,17,299,1,283,0.0566666666667,0.00333333333333
0.3,21,299,1,279,0.07,0.00333333333333
0.31,25,299,1,275,0.0833333333333,0.00333333333333
0.32,29,299,1,271,0.0966666666667,0.00333333333333
0.33,32,299,1,268,0.106666666667,0.00333333333333
0.34,36,299,1,264,0.12,0.00333333333333
0.35000000000000003,37,299,1,263,0.123333333333,0.00333333333333
0.36,40,299,1,260,0.133333333333,0.00333333333333
0.37,45,299,1,255,0.15,0.00333333333333
0.38,49,298,2,251,0.163333333333,0.00666666666667
0.39,52,298,2,248,0.173333333333,0.00666666666667
0.4,53,298,2,247,0.176666666667,0.00666666666667
0.41000000000000003,57,298,2,243,0.19,0.00666666666667
