threshold,tp,tn,fp,fn,tpr,fpr
0.0,0,300,0,300,0.0,0.0
0.01,0,300,0,300,0.0,0.0
0.02,0,300,0,300,0.0,0.0
0.03,0,300,0,300,0.0,0.0
0.04,0,300,0,300,0.0,0.0
0.05,0,300,0,300,0.0,0.0
0.06,0,300,0,300,0.0,0.0
0.07,1,300,0,299,0.00333333333333,0.0
0.08,1,300,0,299,0.00333333333333,0.0
0.09,1,300,0,299,0.00333333333333,0.0
0.1,2,300,0,298,0.00666666666667,0.0
0.11,2,300,0,298,0.00666666666667,0.0
0.12,2,300,0,298,0.00666666666667,0.0
0.13,2,300,0,298,0.00666666666667,0.0
0.14,2,300,0,298,0.00666666666667,0.0
0.15,3,300,0,297,0.01,0.0
0.16,3,300,0,297,0.01,0.0
0.17,3,300,0,297,0.01,0.0
0.18,3,300,0,297,0.01,0.0
0.19,6,300,0,294,0.02,0.0
0.2,7,300,0,293,0.0233333333333,0.0
0.21,7,300,0,293,0.0233333333333,0.0
0.22,8,300,0,292,0.0266666666667,0.0
0.23,11,300,0,289,0.0366666666667,0.0
0.24,12,300,0,288,0.04,0.0
0.25,13,300,0,287,0.0433333333333,0.0
0.26,18,300,0,282,0.06,0.0
0.27,20,300,0,280,0.0666666666667,0.0
0.28,23,300,0,277,0.0766666666667,0.0
0.29,30,300,0,270,0.1,0.0
0.3,32,300,0,268,0.106666666667,0.0
0.31,36,300,0,264,0.12,0.0
0.32,38,300,0,262,0.126666666667,0.0
0.33,39,300,0,261,0.13,0.0
0.34,43,300,0,257,0.143333333333,0.0
0.35000000000000003,44,300,0,256,0.146666666667,0.0
0.36,46,300,0,254,0.153333333333,0.0
0.37,47,300,0,253,0.156666666667,0.0
0.38,52,300,0,248,0.173333333333,0.0
0.39,55,300,0,245,0.183333333333,0.0
0.4,56,300,0,244,0.186666666667,0.0
0.41000000000000003,61,300,0,239,0.203333333333,0.0
0.42,62,300,0,238,0.206666666667,0.0
0.43,66,300,0,234,0.22,0.0
