threshold,tp,tn,fp,fn,tpr,fpr
0.0,0,300,0,300,0.0,0.0
0.01,0,300,0,300,0.0,0.0
0.02,0,300,0,300,0.0,0.0
0.03,0,300,0,300,0.0,0.0
0.04,0,300,0,300,0.0,0.0
0.05,0,300,0,300,0.0,0.0
0.06,0,300,0,300,0.0,0.0
0.07,1,300,0,299,0.00333333333333,0.0
0.08,1,300,0,299,0.00333333333333,0.0
0.09,1,300,0,299,0.00333333333333,0.0
0.1,3,300,0,297,0.01,0.0
0.11,3,300,0,297,0.01,0.0
0.12,4,300,0,296,0.0133333333333,0.0
0.13,4,300,0,296,0.0133333333333,0.0
0.14,5,300,0,295,0.0166666666667,0.0
0.15,6,300,0,294,0.02,0.0
0.16,8,300,0,292,0.0266666666667,0.0
0.17,10,300,0,290,0.0333333333333,0.0
0.18,12,300,0,288,0.04,0.0
0.19,12,300,0,288,0.04,0.0
0.2,13,300,0,287,0.0433333333333,0.0
0.21,14,300,0,286,0.0466666666667,0.0
0.22,20,300,0,280,0.0666666666667,0.0
0.23,21,300,0,279,0.07,0.0
0.24,23,300,0,277,0.0766666666667,0.0
0.25,24,300,0,276,0.08,0.0
0.26,27,300,0,273,0.09,0.0
0.27,29,300,0,271,0.0966666666667,0.0
0.28,30,300,0,270,0.1,0.0
0.29,34,300,0,266,0.113333333333,0.0
0.3,39,299,1,261,0.13,0.00333333333333
0.31,43,299,1,257,0.143333333333,0.00333333333333
0.32,45,299,1,255,0.15,0.00333333333333
0.33,51,299,1,249,0.17,0.00333333333333
0.34,55,299,1,245,0.183333333333,0.00333333333333
0.35000000000000003,57,299,1,243,0.19,0.00333333333333
0.36,61,299,1,239,0.203333333333,0.00333333333333
0.37,66,299,1,234,0.22,0.00333333333333
0.38,67,298,2,233,0.223333333333,0.00666666666667
0.39,67,298,2,233,0.223333333333,0.00666666666667
0.4,75,298,2,225,0.25,0.00666666666667
0.41000000000000003,75,298,2,225,0.25,0.00666666666667
0.42,78,298,2,222,0.26,0.00666666666667
