threshold,tp,tn,fp,fn,tpr,fpr
0.0,0,300,0,300,0.0,0.0
0.01,0,300,0,300,0.0,0.0
0.02,0,300,0,300,0.0,0.0
0.03,0,300,0,300,0.0,0.0
0.04,0,300,0,300,0.0,0.0
0.05,0,300,0,300,0.0,0.0
0.06,0,300,0,300,0.0,0.0
0.07,0,300,0,300,0.0,0.0
0.08,0,300,0,300,0.0,0.0
0.09,1,300,0,299,0.00333333333333,0.0
0.1,1,300,0,299,0.00333333333333,0.0
0.11,1,300,0,299,0.00333333333333,0.0
0.12,2,300,0,298,0.00666666666667,0.0
0.13,3,300,0,297,0.01,0.0
0.14,5,300,0,295,0.0166666666667,0.0
0.15,5,300,0,295,0.0166666666667,0.0
0.16,6,300,0,294,0.02,0.0
0.17,6,300,0,294,0.02,0.0
0.18,7,300,0,293,0.0233333333333,0.0
0.19,8,300,0,292,0.0266666666667,0.0
0.2,10,300,0,290,0.0333333333333,0.0
0.21,12,300,0,288,0.04,0.0
0.22,14,300,0,286,0.0466666666667,0.0
0.23,18,300,0,282,0.06,0.0
0.24,20,300,0,280,0.0666666666667,0.0
0.25,20,300,0,280,0.0666666666667,0.0
0.26,22,300,0,278,0.0733333333333,0.0
0.27,25,300,0,275,0.0833333333333,0.0
0.28,27,300,0,273,0.09,0.0
0.29,29,300,0,271,0.0966666666667,0.0
0.3,29,300,0,271,0.0966666666667,0.0
0.31,32,300,0,268,0.106666666667,0.0
0.32,35,300,0,265,0.116666666667,0.0
0.33,36,299,1,264,0.12,0.00333333333333
0.34,38,299,1,262,0.126666666667,0.00333333333333
0.35000000000000003,39,299,1,261,0.13,0.00333333333333
0.36,43,298,2,257,0.143333333333,0.00666666666667
0.37,47,298,2,253,0.156666666667,0.00666666666667
0.38,47,298,2,253,0.156666666667,0.00666666666667
0.39,50,298,2,250,0.166666666667,0.00666666666667
0.4,54,298,2,246,0.18,0.00666666666667
0.41000000000000003,57,297,3,243,0.19,0.01
0.42,58,296,4,242,0.193333333333,0.0133333333333
