threshold,tp,tn,fp,fn,tpr,fpr
0.0,0,300,0,300,0.0,0.0
0.01,0,300,0,300,0.0,0.0
0.02,0,300,0,300,0.0,0.0
0.03,0,300,0,300,0.0,0.0
0.04,0,300,0,300,0.0,0.0
0.05,0,300,0,300,0.0,0.0
0.06,0,300,0,300,0.0,0.0
0.07,0,300,0,300,0.0,0.0
0.08,0,300,0,300,0.0,0.0
0.09,1,300,0,299,0.00333333333333,0.0
0.1,1,300,0,299,0.00333333333333,0.0
0.11,1,300,0,299,0.00333333333333,0.0
0.12,3,300,0,297,0.01,0.0
0.13,3,300,0,297,0.01,0.0
0.14,4,300,0,296,0.0133333333333,0.0
0.15,4,300,0,296,0.0133333333333,0.0
0.16,5,300,0,295,0.0166666666667,0.0
0.17,7,300,0,293,0.0233333333333,0.0
0.18,8,300,0,292,0.0266666666667,0.0
0.19,8,300,0,292,0.0266666666667,0.0
0.2,9,300,0,291,0.03,0.0
0.21,9,300,0,291,0.03,0.0
0.22,14,300,0,286,0.0466666666667,0.0
0.23,16,300,0,284,0.0533333333333,0.0
0.24,19,300,0,281,0.0633333333333,0.0
0.25,19,300,0,281,0.0633333333333,0.0
0.26,20,300,0,280,0.0666666666667,0.0
0.27,23,300,0,277,0.0766666666667,0.0
0.28,24,300,0,276,0.08,0.0
0.29,28,300,0,272,0.0933333333333,0.0
0.3,29,300,0,271,0.0966666666667,0.0
0.31,31,300,0,269,0.103333333333,0.0
0.32,33,300,0,267,0.11,0.0
0.33,35,300,0,265,0.116666666667,0.0
0.34,41,300,0,259,0.136666666667,0.0
0.35000000000000003,44,300,0,256,0.146666666667,0.0
0.36,47,300,0,253,0.156666666667,0.0
0.37,50,300,0,250,0.166666666667,0.0
0.38,52,300,0,248,0.173333333333,0.0
0.39,54,300,0,246,0.18,0.0
0.4,55,300,0,245,0.183333333333,0.0
0.41000000000000003,57,300,0,243,0.19,0.0
0.42,58,299,1,242,0.193333333333,0.00333333333333
0.43,64,299,1,236,0.213333333333,0.00333333333333
