threshold,tp,tn,fp,fn,tpr,fpr
0.0,0,300,0,300,0.0,0.0
0.01,0,300,0,300,0.0,0.0
0.02,0,300,0,300,0.0,0.0
0.03,0,300,0,300,0.0,0.0
0.04,0,300,0,300,0.0,0.0
0.05,0,300,0,300,0.0,0.0
0.06,0,300,0,300,0.0,0.0
0.07,0,300,0,300,0.0,0.0
0.08,1,300,0,299,0.00333333333333,0.0
0.09,1,300,0,299,0.00333333333333,0.0
0.1,1,300,0,299,0.00333333333333,0.0
0.11,1,300,0,299,0.00333333333333,0.0
0.12,2,300,0,298,0.00666666666667,0.0
0.13,2,300,0,298,0.00666666666667,0.0
0.14,4,300,0,296,0.0133333333333,0.0
0.15,4,300,0,296,0.0133333333333,0.0
0.16,5,300,0,295,0.0166666666667,0.0
0.17,7,300,0,293,0.0233333333333,0.0
0.18,11,300,0,289,0.0366666666667,0.0
0.19,11,300,0,289,0.0366666666667,0.0
0.2,11,300,0,289,0.0366666666667,0.0
0.21,13,300,0,287,0.0433333333333,0.0
0.22,13,300,0,287,0.0433333333333,0.0
0.23,14,300,0,286,0.0466666666667,0.0
0.24,16,300,0,284,0.0533333333333,0.0
0.25,17,300,0,283,0.0566666666667,0.0
0.26,18,300,0,282,0.06,0.0
0.27,22,300,0,278,0.0733333333333,0.0
0.28,24,300,0,276,0.08,0.0
0.29,24,300,0,276,0.08,0.0
0.3,27,300,0,273,0.09,0.0
0.31,29,300,0,271,0.0966666666667,0.0
0.32,29,300,0,271,0.0966666666667,0.0
0.33,38,300,0,262,0.126666666667,0.0
0.34,40,300,0,260,0.133333333333,0.0
0.35000000000000003,43,299,1,257,0.143333333333,0.00333333333333
0.36,48,299,1,252,0.16,0.00333333333333
0.37,51,299,1,249,0.17,0.00333333333333
0.38,55,299,1,245,0.183333333333,0.00333333333333
0.39,64,299,1,236,0.213333333333,0.00333333333333
0.4,64,299,1,236,0.213333333333,0.00333333333333
0.41000000000000003,66,299,1,234,0.22,0.00333333333333
